"_id","userAge","userEducation","userComputerLevel","userComputerExperienceYears","userProf","userProgExperience","userGamingExperience","__v","question1Answer","question1Complexity","question1Time","question2Answer","question2Complexity","question2Time","question3Answer","question3Complexity","question3Time","question4Answer","question4Complexity","question4Time","question5Answer","question5Complexity","question5Time","withTree","userProgComment","created_at","updatedAt"
"6096b6b21108620015da1db7","29","master-student","4","16"," Модульные технологии в биомехатронике","В течение 20 лет, не регулярно, не по профессии","Да, около 21 года",0,"Подключение радиомодуля",1,47086,"27.02.20",1,78610,"5",1,90443,"-",10,107021,"5",5,164610,false,,,
"6096cb5ec2cc9d00153290b0","45","Высшее, к.т.н.","3","33","Оптотехника","20","33",0,"включение омниплатформы при помощи спящего режима и активацию через радиомодуль",8,490198,"03 03 20",1,567226,"4",5,672158,"февраль",7,910165,"5",2,940598,true,,,
"609a79d4b497610015a90154","1995","Магистрант","3",,"Дизайн человеко-компьютерных систем"," Когда-то изучал самостоятельно",,0,"радиомодуль",3,23980,"26 февраля",5,60969,"4",4,104899,"-",8,113994,"7",7,205914,false,"веб","2021-05-11T12:34:28.494Z","2021-05-11T12:39:02.595Z"
"609a7be2b497610015a90156","2002","Бакалавр","3",,"нейротехнологии и программирование ","Изучал систематически",,0,,,,,,,,,,,,,,,,,,"2021-05-11T12:43:14.299Z","2021-05-11T12:43:14.299Z"
"609a7dc8b497610015a90157","1997","Магистрант","3",,"ДЧКС","Нет",,0,"радиомодуль",2,36121,"26.02.2020",2,83038,"4",1,120932,"февраль",2,164032,"8",4,217010,false,,"2021-05-11T12:51:20.648Z","2021-05-11T12:55:59.924Z"
"609a7fcab497610015a90159","1998","Магистр","3",,"дчкс","Изучал самостоятельно",,0,"-",8,39840,"1.02",5,99399,"4",3,136959,"-",8,154611,"-",8,171124,true,,"2021-05-11T12:59:54.834Z","2021-05-11T13:03:15.534Z"
"609a8051b497610015a9015a","1111","1111","1",,"1111","Нет",,0,,,,,,,,,,,,,,,,,"11111","2021-05-11T13:02:09.141Z","2021-05-11T13:02:09.141Z"
"609a8222b497610015a9015c","1994","Среднее-специальное","4",,"Судомеханик","Это мой основной вид деятельности",,0,"радиомодуль",3,101878,"26 фев",4,296586,"4",1,320869,"февраль",3,437897,"8",1,350074,true,,"2021-05-11T13:09:54.679Z","2021-05-11T13:18:41.371Z"
"609a8453b497610015a9015d","1998","Магистр","4",,"12.04.01","Изучал систематически",,0,,,,,,,,,,,,,,,,,,"2021-05-11T13:19:15.183Z","2021-05-11T13:19:15.183Z"
"609a84c4b497610015a9015e","1997","Бакалавр","4",,"программист-разработчик","Это мой основной вид деятельности",,0,,,,,,,,,,,,,,,,,,"2021-05-11T13:21:08.092Z","2021-05-11T13:21:08.092Z"
"609a8559b497610015a9015f","2002","Бакалавр","3",,"Оптотехника","Изучал самостоятельно",,0,,,,,,,,,,,,,,,,,,"2021-05-11T13:23:37.040Z","2021-05-11T13:23:37.040Z"
"609a85dab497610015a90161","1997","Бакалавр","4",,"программист-разработчик","Это мой основной вид деятельности",,0,"Радиомодуль",3,39474,"26.02.2020",3,124684,"4",4,219123,"февраль",2,278913,"8",3,330234,true,,"2021-05-11T13:25:46.886Z","2021-05-11T13:33:44.547Z"
"609a86ddb497610015a90162","2000","Бакалавр","4",,"ПриМат","Изучал систематически",,0,"Реение проблемы энергосбережения путом спящего режима и выхода по сигналу радиомодуля",3,105020,"26.02.2020",6,467193,"4",1,308057,"02",3,424887,"7",4,541897,false,,"2021-05-11T13:30:05.010Z","2021-05-11T13:39:53.754Z"
"609a8c94b497610015a90165","2003","Среднее","3",,"-","Изучал систематически",,0,"радиомодуль",5,56020,"9 января",2,128586,"4",1,164344,"февраль",2,200090,"8",4,216904,true,,"2021-05-11T13:54:28.651Z","2021-05-11T13:59:02.964Z"
"609a8cc4b497610015a90166","2001","Среднее-специальное","4",,"09.02.03","Изучал систематически",,0,,,,,,,,,,,,,,,,,,"2021-05-11T13:55:16.610Z","2021-05-11T13:55:16.610Z"
"609a8cc9b497610015a90167","2006","Среднее","4",,"нету","Изучал самостоятельно",,0,,,,,,,,,,,,,,,,,,"2021-05-11T13:55:21.603Z","2021-05-11T13:55:21.603Z"
"609a8d5ab497610015a90168","2000","Среднее","1",,"Питон","Нет",,0,,,,,,,,,,,,,,,,,,"2021-05-11T13:57:47.006Z","2021-05-11T13:57:47.006Z"
"609a8d64b497610015a90169","1111","Среднее","4",,"Специальная","Изучал систематически",,0,,,,,,,,,,,,,,,,,,"2021-05-11T13:57:56.543Z","2021-05-11T13:57:56.543Z"
"609a8f07b497610015a9016b","1902","Среднее-специальное","1",,"вмымвымы"," Когда-то изучал самостоятельно",,0,,,,,,,,,,,,,,,,,"выммым","2021-05-11T14:04:55.571Z","2021-05-11T14:04:55.571Z"
"609a9230b497610015a9016c","1999","Студент","4",,"Компьюютерные технологии в дизайне","Изучал систематически",,0,,,,,,,,,,,,,,,,,,"2021-05-11T14:18:24.470Z","2021-05-11T14:18:24.470Z"
"609a92a0b497610015a9016d","1976","Среднее-специальное","4",,"юрист","Изучал самостоятельно",,0,,,,,,,,,,,,,,,,,,"2021-05-11T14:20:16.601Z","2021-05-11T14:20:16.601Z"
"609a9704b497610015a9016e","2001","Студент","4",,"09.03.02","Это мой основной вид деятельности",,0,"Не смог найти ответ",8,413343,"09.01.2020",7,176921,"4",1,244814,"Февраль",4,382070,"7",1,394870,true,,"2021-05-11T14:39:00.139Z","2021-05-11T14:47:31.145Z"
"609a9751b497610015a9016f","1996","Магистрант","3",,"Дизайн человеко-компьютерных систем","Нет",,0,,,,,,,,,,,,,,,,,,"2021-05-11T14:40:17.082Z","2021-05-11T14:40:17.082Z"
"609a9905b497610015a90170","1976","Среднее-специальное","4",,"юрист","Изучал самостоятельно",,0,,,,,,,,,,,,,,,,,,"2021-05-11T14:47:33.919Z","2021-05-11T14:47:33.919Z"
"609a9a4bb497610015a90172","2002","Студент","4",,"Программирование","Изучал систематически",,0,,,,,,,,,,,,,,,,,,"2021-05-11T14:52:59.685Z","2021-05-11T14:52:59.685Z"
